0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:13 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:15 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:17 +0900] "GET /bada_admin/board_manage/qna_list.do?page=3 HTTP/1.1" 200 17166
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:17 +0900] "GET /bada_admin/board_manage/qna_list.do?page=5 HTTP/1.1" 200 17166
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:18 +0900] "GET /bada_admin/board_manage/qna_list.do?page=6 HTTP/1.1" 200 17281
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:19 +0900] "GET /bada_admin/board_manage/qna_list.do?page=10 HTTP/1.1" 200 17280
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:20 +0900] "GET /bada_admin/board_manage/qna_list.do?page=11 HTTP/1.1" 200 17289
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:20 +0900] "GET /bada_admin/board_manage/qna_list.do?page=15 HTTP/1.1" 200 17276
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:21 +0900] "GET /bada_admin/board_manage/qna_list.do?page=16 HTTP/1.1" 200 13095
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:22 +0900] "GET /bada_admin/board_manage/qna_list.do?page=15 HTTP/1.1" 200 17276
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:23 +0900] "GET /bada_admin/board_manage/qna_list.do?page=10 HTTP/1.1" 200 17280
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:24 +0900] "GET /bada_admin/board_manage/qna_list.do?page=5 HTTP/1.1" 200 17166
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:26 +0900] "GET /bada_admin/board_manage/qna_list.do?page=6 HTTP/1.1" 200 17281
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:28 +0900] "GET /bada_admin/board_manage/qna_list.do?page=8 HTTP/1.1" 200 17281
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:29 +0900] "GET /bada_admin/board_manage/qna_list.do?page=5 HTTP/1.1" 200 17166
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:30 +0900] "GET /bada_admin/board_manage/qna_list.do?page=1 HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:31 +0900] "GET /bada_admin/board_manage/qna_view.do?id=105 HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:34 +0900] "GET /bada_admin/board_manage/qna_update.do?id=105 HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:13 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:16 +0900] "GET /bada_admin/index HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:21 +0900] "POST /bada_admin/login_ok.do HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:21 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:23 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:24 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10186
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:25 +0900] "GET /bada_admin/board_manage/qna_update.do?id=109&answer_status=N HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:57:28 +0900] "GET /bada_admin/board_manage/qna_update.do?id=109&answer_status=N HTTP/1.1" 200 225
